overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime
5,TRUE,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!,Five Stars,1441324800
5,TRUE,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!,Five Stars,1441324800
5,TRUE,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!,Five Stars,1441324800
5,TRUE,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!,Five Stars,1441324800
5,TRUE,"09 4, 2015",ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Great product and price!,Five Stars,1441324800
3,TRUE,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Waaay too small. Will use for futur children!,Oops!,1430870400
5,TRUE,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Stays vibrant after many washes,Great,1430870400
5,TRUE,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Stays vibrant after many washes,Good,1430870400
5,TRUE,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,NaeNae,My son really likes the pink. Ones which I was nervous about,Great,1430870400
3,TRUE,"05 6, 2015",A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Waaay too small. Will use for future child.,Oops!,1430870400
2,TRUE,"01 25, 2018",A3HX4X3TIABWOV,B000KPIHQ4,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,1516838400
2,TRUE,"01 5, 2017",AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400
5,TRUE,"10 17, 2016",A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400
5,TRUE,"08 22, 2016",AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000
5,TRUE,"03 23, 2016",A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,Excellent insole with good support.,Five Stars,1458691200
5,TRUE,"06 24, 2015",AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000
5,TRUE,"11 17, 2014",A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400
2,TRUE,"01 25, 2018",A3HX4X3TIABWOV,B000V0IBDM,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,1516838400
2,TRUE,"01 5, 2017",AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400
5,TRUE,"10 17, 2016",A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400
5,TRUE,"08 22, 2016",AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000
5,TRUE,"03 23, 2016",A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,Excellent insole with good support.,Five Stars,1458691200
5,TRUE,"06 24, 2015",AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000
5,TRUE,"11 17, 2014",A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400
1,TRUE,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,Waaaay too BIG,One Star,1520812800
5,TRUE,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Comfortable,Five Stars,1518048000
4,TRUE,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400
5,TRUE,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600
5,TRUE,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200
1,TRUE,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,Waaaay too BIG,One Star,1520812800
5,TRUE,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800
5,TRUE,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200
3,TRUE,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600
